		crustacean	crustacean	crustacean	detritus	detritus	detritus	echinoderm	echinoderm	elongate	elongate	elongate		gelatinous	gelatinous	gelatinous	gelatinous		mollusc			phytoplankton	phytoplankton	phytoplankton	protist	protist	protist	protist	protist	protist	protist	radiolarian	trichodesmium	Trichodesmium
Class_Names	Count	copepod	eumalacostracan	ostracod	blob	oildroplet	snow	bipinnaria	plutei	chaetognath	polychaete	strands	fish	ctenophore	hydromedusae	siphonophore	tunicate	larvacean	pteropod	noise	other	chaetoceros	chain	noctiluca	acantharia	diffuse	knobby	lopsided	radio	spiny	thalassicola	ribboncolony	colonies	elongate
detritus_blob	4.67%	0.000%	0.000%	0.000%	99.925%	0.000%	0.075%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
detritus_oildroplet	3.78%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
detritus_snow	15.94%	0.000%	0.000%	0.000%	0.022%	0.000%	99.978%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
echinoderm_bipinnaria	1.31%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
echinoderm_plutei	1.27%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
elongate_chaetognath	3.58%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
elongate_polychaete	1.07%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
elongate_strands	1.11%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
fish	1.61%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
gelatinous_ctenophore	1.65%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
